,title,median,mean,my_status
2932,Slayers Great,7.0,6.152941176470589,2210
2933,Slayers Gorgeous,7.0,6.175276752767528,2168
2935,Slayers Premium,7.0,6.093470483005366,2236
2951,Pokemon Diamond & Pearl: Dialga vs. Palkia vs. Darkrai,7.0,5.7807987711213515,6510
2953,Tenjou Tenge: The Past Chapter,7.0,5.848035581912527,2698
2967,Kaze wo Mita Shounen,7.0,6.030888030888031,518
2983,Bleach Movie 1: Memories of Nobody,7.0,6.522724416705064,23873
2987,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,7.0,6.304772041866241,5637
2993,Mahoujin Guru Guru Movie,7.0,5.677165354330708,127
2994,Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,7.0,6.1127659574468085,2350
3008,Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,7.0,6.1063829787234045,423
3009,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,7.0,5.635878564857406,16305
3024,Digimon Adventure 02: Diablomon no Gyakushuu,7.0,5.800980183251651,4693
3025,Digimon Adventure: Bokura no War Game!,7.0,6.326059254539662,6278
3056,Dragon Ball Movie 4: Saikyou e no Michi,7.0,5.573403241182078,4196
3066,Doraemon Movie 24: Nobita to Fushigi Kaze Tsukai,7.0,6.054761904761905,420
3071,Yuu☆Yuu☆Hakusho (Movie),7.0,5.751602564102564,2496
3073,Soratobu Yuureisen,7.0,5.944320712694878,449
3081,Doraemon Movie 26: Nobita no Kyouryuu 2006,7.0,6.376344086021505,465
3087,Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu,7.0,6.1419624217118995,479
3090,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru,7.0,5.9536175866650565,8279
3094,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,7.0,6.10876327362437,9323
3095,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,7.0,5.663410398350157,9213
3096,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,7.0,5.774636223825861,8453
3097,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",7.0,6.083363702623907,10976
3098,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,7.0,5.61650922177238,8892
3099,Hi no Tori 2772: Ai no CosmoZone,7.0,5.989090909090909,275
3100,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,7.0,5.573272184300341,9376
3101,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,7.0,5.697260547890422,10002
3113,Gedo Senki,7.0,6.380671506352087,8816
3139,Juubee Ninpuuchou,7.0,6.69685369063285,8359
3143,Digimon Adventure 02 Movies,7.0,5.6048306772908365,4016
3156,Digimon Tamers: Boukensha-tachi no Tatakai,7.0,5.619868220983274,1973
3164,Venus Senki,7.0,6.0013297872340425,752
3167,Digimon Tamers: Bousou Digimon Tokkyuu,7.0,5.694837825491092,2189
3172,Slayers: The Motion Picture,7.0,6.208999021845451,3067
3178,Pokemon: Mewtwo no Gyakushuu,7.0,6.114800855658552,19634
3196,Steamboy,7.0,6.630009775171065,6138
3201,Muumindani no Suisei,7.0,6.0,928
3210,Golgo 13,7.0,6.037260825780463,993
3213,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,7.0,6.500342935528121,20412
3221,Hokuto no Ken: Raoh Gaiden Junai-hen,7.0,6.632258064516129,775
3281,Dirty Pair: The Movie,7.0,5.8125,496
3333,Lupin III: Kutabare! Nostradamus,7.0,6.110966057441253,766
3349,Lupin III: Dead or Alive,7.0,5.956944444444445,720
3351,Tatsu no Ko Tarou,7.0,6.172932330827067,266
3359,Lupin III: Fuuma Ichizoku no Inbou,7.0,6.051873198847262,694
3383,Giniro no Kami no Agito,7.0,6.562007722007722,6475
3388,Naruto: Shippuuden Movie 1,7.0,6.102943708039249,17427
3392,Lupin III: Lupin vs. Fukusei-ningen,7.0,6.04932735426009,892
3402,Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,7.0,5.931623931623932,351
3454,Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,7.0,6.398972602739726,584
3460,Hokuto no Ken Movie,7.0,6.2823529411764705,1530
3464,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,7.0,5.9575471698113205,848
3499,Saint Seiya: Saishuu Seisen no Senshi-tachi,7.0,5.801559177888023,1411
3500,Saint Seiya: Tenkai-hen Josou - Overture,7.0,6.269622833843018,1962
3501,Saint Seiya: Kamigami no Atsuki Tatakai,7.0,5.88,1550
3502,Saint Seiya: Jashin Eris,7.0,5.833896396396397,1776
3503,Saint Seiya: Shinku no Shounen Densetsu,7.0,6.0372750642673525,1556
3518,Mobile Suit Gundam 0083: The Fading Light of Zeon,7.0,5.596747967479675,615
3526,Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,7.0,5.984714873603762,1701
3541,Kumo no You ni Kaze no You ni,7.0,5.996478873239437,568
3542,Doraemon Movie 15: Nobita to Mugen Sankenshi,7.0,5.92,275
3544,Taiyou no Ouji: Horus no Daibouken,7.0,5.799671592775041,609
3547,Doraemon Movie 11: Nobita to Animal Planet,7.0,6.0119760479041915,334
3548,Doraemon Movie 18: Nobita no Nejimaki City Boukenki,7.0,5.764367816091954,174
3554,1000-nen Joou: Queen Millennia,7.0,6.501845018450185,271
3574,Crusher Joe,7.0,6.23051948051948,308
3581,Dead Leaves,7.0,6.501745361014146,5443
3596,Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,7.0,6.049100529100529,4725
3606,Unico: Mahou no Shima e,7.0,5.704918032786885,183
3609,Unico,7.0,6.0177304964539005,282
3621,Space Adventure Cobra,7.0,6.182,500
3640,Mobile Suit Gundam I,7.0,6.5103734439834025,2169
3641,Mori no Densetsu,7.0,5.724137931034483,232
3643,Pokemon: Maboroshi no Pokemon Lugia Bakutan,7.0,5.932139491046183,15915
3644,Pokemon: Kesshoutou no Teiou Entei,7.0,5.64843912230913,14447
3662,Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys,7.0,5.550348321722609,7895
3664,Pokemon: Mizu no Miyako no Mamorigami Latias to Latios,7.0,5.816708860759493,7900
3665,Pokemon: Celebi Toki wo Koeta Deai,7.0,5.560278556570498,11057
3668,Doraemon Movie 16: Nobita no Sousei Nikki,7.0,5.5064935064935066,154
3669,Doraemon Movie 03: Nobita no Daimakyou,7.0,5.835616438356165,219
