,title,median,mean,my_status
1324,Cardfight!! Vanguard,7.0,6.26084407971864,1706
1342,Fractale,7.0,6.393382352941177,6256
1350,Battle Spirits: Brave,7.0,5.458333333333333,72
1377,Cyborg 009 (TV),7.0,5.627358490566038,212
1432,Digimon Xros Wars,7.0,5.978482446206115,1766
1436,Death March kara Hajimaru Isekai Kyousoukyoku,7.0,5.9183940242763775,5355
1464,World Destruction: Sekai Bokumetsu no Rokunin,7.0,6.307530892982047,4289
1479,Hakushaku to Yousei,7.0,6.5825600235675354,6789
1483,Koihime†Musou,7.0,6.039040571574382,3919
1489,Blade of the Immortal,7.0,6.166757493188011,3670
1499,Popolocrois Monogatari,7.0,6.466101694915254,118
1516,Tales of the Abyss,7.0,6.734397469082542,6954
1532,Ninpuu Kamui Gaiden,7.0,5.6,40
1537,Shinzou Ningen Casshern,7.0,5.512820512820513,195
1539,Mashin Eiyuuden Wataru 2,7.0,5.2631578947368425,38
1542,Yume no Crayon Oukoku,7.0,5.830508474576271,59
1544,Arad Senki: Slap Up Party,7.0,5.881562881562882,819
1545,Neo Angelique Abyss: Second Age,7.0,6.07184846505552,1531
1546,Tekken Chinmi,7.0,5.84304932735426,223
1548,Cyborg 009 (1979),7.0,5.679389312977099,262
1555,Druaga no Tou: The Sword of Uruk,7.0,6.52996287785045,5657
1560,Yamato Takeru,7.0,6.135593220338983,59
1569,Tears to Tiara,7.0,6.505369551484523,4749
1577,Seimei no Kagaku: Micro Patrol,7.0,5.6454545454545455,220
1592,Chou Hatsumei Boy Kanipan,7.0,5.538461538461538,39
1603,Bosco Daibouken,7.0,5.825242718446602,103
1612,Yuusha Tokkyuu Might Gaine,7.0,6.306451612903226,62
1613,Ryuusei no Rockman Tribe,7.0,6.241847826086956,368
1614,Wellber no Monogatari: Sisters of Wellber Zwei,7.0,5.993650793650794,315
1621,Allison to Lillia,7.0,6.603998298596342,2351
1623,Dennou Boukenki Webdiver,7.0,6.343434343434343,99
1637,Slayers Revolution,7.0,6.3351455068756,3127
1641,Net Ghost Pipopa,7.0,5.26,50
1645,Grimm Masterpiece Theater,7.0,5.656603773584906,265
1646,Grimm Masterpiece Theater II,7.0,5.6117647058823525,170
1649,Tytania,7.0,6.175295857988166,1352
1655,Zero no Tsukaima: Princesses no Rondo,7.0,6.67363404539944,23921
1659,Usavich,7.0,5.984392419175028,897
1660,Usavich II,7.0,6.155585106382978,752
1669,Hoshi no Oujisama Petit Prince,7.0,6.083333333333333,84
1684,Cobra The Animation,7.0,6.283261802575107,466
1714,Seiken no Blacksmith,7.0,6.138944910306762,9421
1748,Queen&#039;s Blade: Gyokuza wo Tsugu Mono,7.0,5.8142523364485985,3424
1808,Dragon League,7.0,5.666666666666667,72
1815,Souten Kouro,7.0,6.64367816091954,522
1818,Slayers Evolution-R,7.0,6.374403815580286,2516
1825,Gamba no Bouken,7.0,5.5125,80
1838,Guin Saga,7.0,6.528682882055989,2179
1848,Yuusha Keisatsu J-Decker,7.0,5.96875,64
1852,Manga Sarutobi Sasuke,7.0,5.391304347826087,69
1869,Gegege no Kitarou (1968),7.0,5.314285714285714,70
1873,Tanoshii Muumin Ikka Bouken Nikki,7.0,5.718574108818011,533
1880,Dororo to Hyakkimaru,7.0,6.083333333333333,48
1889,Shin Chou Kyou Ryo: Condor Hero III,7.0,5.63,100
1895,Sora wo Kakeru Shoujo,7.0,6.183578104138852,1498
1901,Monkey Punch: Manga Katsudou Daishashin,7.0,6.311475409836065,61
1924,Sword Art Online II,7.0,6.580540333885561,31388
1925,Cardfight!! Vanguard: Legion Mate-hen,7.0,5.62800875273523,457
1968,Yama no Susume: Second Season,7.0,6.655513307984791,1315
1976,Ryuugajou Nanana no Maizoukin (TV),7.0,6.517659161046977,8749
1994,Arslan Senki (TV): Fuujin Ranbu,7.0,6.686329588014981,5340
2022,Sanzoku no Musume Ronja,7.0,6.519117647058824,680
2057,Uchuu Patrol Luluco,7.0,6.7149018762130686,4637
2094,Toaru Hikuushi e no Koiuta,7.0,6.428325811304535,4653
2105,Pokemon XY,7.0,6.455665024630542,2030
2118,Hitsugi no Chaika,7.0,6.6151070286229805,12193
2125,Iron Kid,7.0,5.684684684684685,111
2126,Berserk,7.0,5.99183987682833,6495
2132,Gatchaman Crowds Insight,7.0,6.487473156764495,2794
2170,Kaitou Joker 2nd Season,7.0,5.758620689655173,261
