,title,median,mean,my_status
684,Hayate no Gotoku!,8.0,7.083786629233199,11398
692,Sword Art Online,8.0,7.120340902961325,55617
693,Accel World,8.0,6.889126090116279,22016
704,No.6,8.0,6.791283399036356,13698
714,Space Cobra,8.0,6.794066317626527,573
721,Panty & Stocking with Garterbelt,8.0,6.987810283687943,13536
722,Kore wa Zombie Desu ka?,8.0,6.804878048780488,26199
723,Toaru Majutsu no Index II,8.0,7.033559401309635,17104
743,Densetsu no Yuusha no Densetsu,8.0,7.045852749301025,10730
752,Ashita no Joe,8.0,7.412550066755674,749
757,Ao no Exorcist,8.0,7.09775200138796,40347
760,Tiger & Bunny,8.0,7.423281061519903,8290
766,Toriko,8.0,6.773930753564155,1964
767,Nurarihyon no Mago: Sennen Makyou,8.0,7.2734455958549225,7720
786,Beelzebub,8.0,7.207671149144255,13088
798,Seikai no Senki,8.0,6.974163490046591,2361
800,Mob Psycho 100,8.0,7.652121145252938,18127
801,Kino no Tabi: The Beautiful World,8.0,7.742426085898527,8219
808,Fullmetal Alchemist,8.0,7.657079277930289,48084
821,Mujin Wakusei Survive,8.0,6.685972850678733,1105
824,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,8.0,6.706766917293233,5985
831,Hunter x Hunter,8.0,7.454946586158848,12918
833,D.Gray-man Hallow,8.0,6.798266018185663,4729
835,Overlord II,8.0,6.99775196702885,8007
836,Gungrave,8.0,7.280770198842185,7946
838,Gunslinger Girl,8.0,6.838679597165237,10724
840,GetBackers,8.0,6.824346775411569,6621
847,Bleach,8.0,7.41996130551817,23776
850,Boku no Hero Academia,8.0,7.4449616556712765,29861
851,Mahou Shoujo Lyrical Nanoha A&#039;s,8.0,7.315429524603837,5995
852,Pokemon XY&Z,8.0,6.869146005509642,1452
861,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",8.0,7.093685777053363,14111
866,Ajin,8.0,6.959571619812584,11205
870,Mobile Suit Gundam,8.0,6.901375661375662,4725
878,Mobile Suit Gundam Wing,8.0,6.959862999036712,9343
884,Ghost in the Shell: Stand Alone Complex,8.0,7.579299488390397,15246
885,Seikai no Monshou,8.0,7.056818181818182,2992
886,Hai to Gensou no Grimgar,8.0,7.032975151108126,14890
893,Mai-HiME,8.0,6.835882416748021,9219
895,Nejimaki Seirei Senki: Tenkyou no Alderamin,8.0,7.008367071524966,7410
896,Last Exile,8.0,7.156902428632296,9388
897,Turn A Gundam,8.0,6.80859375,1536
898,Magi: Sinbad no Bouken (TV),8.0,7.185125040597597,6158
900,Mobile Suit Gundam SEED Destiny,8.0,6.734135528815706,7895
901,Mobile Suit Gundam SEED,8.0,7.231730227315424,10646
902,Ao no Exorcist: Kyoto Fujouou-hen,8.0,6.694669135561836,10261
904,Ajin 2nd Season,8.0,7.098135719612229,6705
907,Elfen Lied,8.0,7.222449090219179,55343
911,Ginga Nagareboshi Gin,8.0,6.996164908916587,1043
914,Initial D Second Stage,8.0,7.0302627694124595,6774
917,Initial D First Stage,8.0,7.271672695522016,8017
918,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.0,7.299469026548673,2825
924,Bungou Stray Dogs 2nd Season,8.0,7.30584760779681,8465
929,Princess Principal,8.0,6.892756878158338,3562
936,R.O.D the TV,8.0,6.687990580847724,5096
938,91 Days,8.0,7.080261655072163,9631
942,Samurai Champloo,8.0,7.7679759674397575,30958
944,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,8.0,6.796525165681533,5583
946,Wolf&#039;s Rain,8.0,7.186038466860385,14454
953,Kidou Senkan Nadesico,8.0,6.813380281690141,2840
955,Houseki no Kuni (TV),8.0,7.5867182462927145,4653
967,X,8.0,6.752715121136173,5985
973,Shaman King,8.0,6.703284325349775,16868
976,Juuni Kokuki,8.0,7.462555922972184,5141
978,Blood+,8.0,7.059762636303391,16599
990,Tsubasa Chronicle,8.0,6.81680236861584,13510
995,Gintama.: Porori-hen,8.0,7.580547112462006,2961
1003,RahXephon,8.0,6.799353274050121,6185
1004,InuYasha,8.0,6.923167970358172,19432
1015,Seikai no Senki II,8.0,7.048817312531455,1987
1016,Inuyashiki,8.0,7.136986301369863,8176
1018,Eyeshield 21,8.0,7.2558306422676715,5574
1019,Rozen Maiden,8.0,6.721068249258161,14491
1022,Mutsu Enmei Ryuu Gaiden: Shura no Toki,8.0,6.611302549965541,1451
