,title,median,mean,my_status
1279,Fullmetal Alchemist: The Sacred Star of Milos,7.0,6.519784366576819,9275
1296,Pokemon: Kimi ni Kimeta!,7.0,6.482688391038696,982
1325,Mazinger Z Movie: Infinity,7.0,6.276595744680851,141
1327,Biohazard: Damnation,7.0,6.62014742014742,2035
1366,Toriko 3D: Kaimaku Gourmet Adventure!!,7.0,5.74293059125964,778
1370,Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,7.0,5.725333333333333,375
1373,Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,7.0,5.38671875,256
1374,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,7.0,5.570552147239264,163
1386,Bleach Movie 4: Jigoku-hen,7.0,6.482398838686263,11022
1387,Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,7.0,6.405963302752293,872
1396,Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!,7.0,6.014736842105263,475
1405,Code Geass: Hangyaku no Lelouch II - Handou,7.0,5.355555555555555,45
1407,Naruto: Shippuuden Movie 4 - The Lost Tower,7.0,6.1332785237964735,10947
1414,Digimon Adventure tri. 5: Kyousei,7.0,6.126013264554164,1357
1430,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,7.0,6.584489281210593,9516
1441,Onigamiden,7.0,5.843384338433843,1111
1443,One Piece 3D: Mugiwara Chase,7.0,6.081678956324447,3526
1450,Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana,7.0,6.3106575963718825,441
1466,Naruto: Shippuuden Movie 2 - Kizuna,7.0,6.090933280117076,15033
1513,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,7.0,6.470686268674483,16801
1514,Hashire Melos (Movie),7.0,6.248618784530387,181
1524,Afro Samurai: Resurrection,7.0,6.4446657183499285,7030
1553,Shingeki no Kyojin Movie 3: Kakusei no Houkou,7.0,5.813084112149533,107
1570,Ginga Tetsudou 999: Eternal Fantasy,7.0,5.943548387096774,248
1571,JoJo no Kimyou na Bouken: Phantom Blood,7.0,5.479674796747967,492
1597,Biohazard: Degeneration,7.0,6.472970195272354,4865
1616,Genius Party,7.0,6.413352970054001,2037
1636,Pokemon Diamond & Pearl: Giratina to Sora no Hanataba Sheimi,7.0,5.63756761798172,5361
1662,Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,7.0,5.732970027247957,367
1674,"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",7.0,6.284858170195765,5006
1691,Tailenders,7.0,6.046975546975547,1554
1695,Tenjoubito to Akutobito Saigo no Tatakai,7.0,5.682706766917293,665
1696,Pokemon Diamond & Pearl: Arceus Choukoku no Jikuu e,7.0,5.597482935153583,4688
1711,Final Fantasy VII: Advent Children - Venice Film Festival Footage,7.0,5.584566596194503,946
1715,Mobile Suit Gundam Thunderbolt: Bandit Flower,7.0,6.1415929203539825,113
1740,Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,7.0,6.684442662389736,4988
1746,Ibara no Ou,7.0,6.507829112700561,5173
1747,Kara no Kyoukai Remix: Gate of Seventh Heaven,7.0,6.526077885952712,2876
1776,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,7.0,6.095829858215179,11990
1789,Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,7.0,5.63859649122807,285
1834,Jigoku Sensei Nube: Kyoufu no Natsu Yasumi! Asashi no Uni no Gensetsu,7.0,5.335664335664336,143
1855,Digimon Adventure tri. 6: Bokura no Mirai,7.0,6.260930888575459,709
1878,Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!,7.0,6.117525773195876,485
1933,Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,7.0,5.9411764705882355,136
1937,Digimon Adventure tri. 2: Ketsui,7.0,6.486068965517242,3625
1942,Blame! Movie,7.0,6.651510619204307,3343
1993,Biohazard: Vendetta,7.0,6.660927152317881,755
2030,Appleseed Alpha,7.0,6.201052631578947,950
2072,Hunter x Hunter Movie 2: The Last Mission,7.0,6.182075471698113,4240
2165,Bayonetta: Bloody Fate,7.0,5.908651911468813,2485
2217,Detective Conan Movie 19: The Hellfire Sunflowers,7.0,6.53206239168111,1154
2218,Sidonia no Kishi Movie,7.0,5.991228070175438,342
2229,Shingeki no Kyojin Movie 1: Guren no Yumiya,7.0,6.038861100423239,2599
2253,Fairy Tail Movie 2: Dragon Cry,7.0,6.547307132459971,2061
2255,Code Geass: Boukoku no Akito 5 - Itoshiki Monotachi e,7.0,6.208177044261065,2666
2259,Ajin Part 2: Shoutotsu,7.0,6.107611548556431,381
2283,Ajin Part 3: Shougeki,7.0,5.908771929824561,285
2300,Aoki Hagane no Arpeggio: Ars Nova DC,7.0,6.359106529209622,1164
2305,Kyoukai no Kanata Movie 1: I&#039;ll Be Here - Kako-hen,7.0,6.260677083333333,3840
2319,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,7.0,6.046067415730337,1780
2333,Persona 3 the Movie 3: Falling Down,7.0,6.533546325878595,1878
